,eta,n_estimators,Test Accuracy,Test STD,Train Accuracy,Train STD
0,0.1,10,0.4787526271613016,0.500559872462899,0.7497097694927369,0.020494422615789435
1,0.1,20,0.785775952361727,0.2154513750269496,0.9367934776296272,0.004856679402753611
2,0.1,50,0.8938081158497614,0.057592964427229484,0.9977324776958607,0.00025096644968134076
3,0.1,100,0.9050948640094074,0.04059406962906239,0.999984195200992,2.246132303743046e-06
4,0.2,10,0.7954548545001918,0.21112766030851243,0.9434450400223107,0.004389582337819285
5,0.2,20,0.8829557985971499,0.07551777341636612,0.9945375897858817,0.000535975331426011
6,0.2,50,0.903585757100621,0.04151525298302405,0.9999863635496109,4.894897676690166e-06
7,0.2,100,0.903972325048219,0.04060516608518501,0.9999975997813628,1.6566253623533508e-06
8,0.4,10,0.9009978929865315,0.06651238905189887,0.996068761619974,0.0002771314835345762
9,0.4,20,0.9170990178426642,0.03796745670959184,0.9999443707563127,1.1174728205697496e-05
10,0.4,50,0.9177184982370277,0.03621108277201705,0.9999978635785831,8.524857287877096e-07
11,0.4,100,0.9177184945300741,0.036211080709396264,0.9999978635859754,8.524821454021583e-07
12,0.6,10,0.8954336872464825,0.019577941832860008,0.9997063638889966,4.3598654931892896e-05
13,0.6,20,0.897918636188823,0.012860893238706555,0.999997434313487,9.235637479439674e-07
14,0.6,50,0.8979154553281633,0.012854180846432545,0.9999974539647211,8.872983613831974e-07
15,0.6,100,0.8979154518688093,0.012854181296953725,0.999997453973366,8.872858415668816e-07
